raceId,precipitation_mm,temp_max,wind_max,is_wet_race
184,0.0,27.5,10.9,0
185,0.4,24.2,15.8,0
186,0.0,19.6,12.1,0
187,0.0,26.1,6.5,0
188,5.6,15.1,23.1,1
189,3.2,28.4,9.7,1
190,0.0,19.1,10.8,0
191,0.0,21.6,20.5,0
192,8.2,26.1,12.0,1
193,13.5,19.7,24.6,1
194,0.0,25.7,10.5,0
195,0.0,21.7,11.2,0
196,1.5,19.5,11.1,1
197,0.2,14.0,13.0,0
198,0.0,21.3,14.4,0
199,1.2,17.8,36.8,1
200,2.8,23.2,6.1,1
201,5.7,21.9,8.7,1
202,0.0,27.5,9.3,0
203,2.8,13.4,14.5,1
204,1.2,18.0,10.5,1
205,0.4,15.4,19.0,0
206,0.0,20.7,11.6,0
207,0.0,18.9,21.3,0
208,0.1,21.6,12.8,0
209,0.0,28.4,16.3,0
210,6.5,14.5,19.8,1
211,5.0,19.0,18.1,1
212,0.9,22.8,30.4,0
213,0.0,23.8,21.5,0
214,13.3,21.6,18.1,1
215,1.0,21.1,22.0,0
216,0.4,24.0,19.2,0
217,0.0,25.7,16.9,0
218,0.1,27.6,16.6,0
219,5.2,26.6,7.5,1
220,0.0,15.2,6.5,0
221,0.0,18.9,6.1,0
222,0.0,18.8,24.3,0
223,0.8,23.8,14.5,0
224,0.0,24.5,10.4,0
225,3.7,28.5,10.2,1
226,0.0,19.2,16.8,0
227,1.6,14.0,19.1,1
228,0.0,20.5,14.8,0
229,13.0,17.7,10.8,1
230,21.0,15.5,15.3,1
231,0.0,22.7,11.3,0
232,0.0,21.8,13.7,0
233,0.5,21.8,14.6,0
234,0.5,27.0,4.9,0
235,0.0,25.0,20.8,0
236,1.4,17.3,23.5,1
237,0.0,20.2,9.3,0
238,0.1,18.3,22.1,0
239,3.1,22.7,6.3,1
240,1.5,20.7,18.4,1
241,62.7,20.6,21.7,1
242,8.3,18.2,10.5,1
243,0.0,17.1,15.1,0
244,0.0,22.1,6.8,0
245,7.3,25.1,18.8,1
246,4.8,25.9,13.6,1
247,2.0,21.1,16.9,1
248,0.0,28.5,13.9,0
249,0.0,26.9,7.7,0
250,3.5,15.7,24.8,1
251,2.4,20.2,9.4,1
252,0.0,20.2,33.5,0
253,1.9,12.3,19.1,1
254,0.0,20.0,13.0,0
255,17.5,17.5,21.7,1
256,0.0,25.7,17.4,0
257,3.2,20.1,18.2,1
258,0.0,20.4,13.3,0
259,0.0,25.1,11.9,0
260,0.0,18.9,9.4,0
261,0.0,23.9,15.8,0
262,20.0,24.6,18.3,1
263,0.1,31.2,9.1,0
264,0.0,23.4,19.8,0
265,0.0,31.0,12.0,0
266,2.9,22.4,19.8,1
267,4.5,16.2,23.8,1
268,0.0,22.7,6.6,0
269,0.2,17.7,12.8,0
270,0.0,24.5,13.8,0
271,21.9,18.0,12.5,1
272,0.0,18.2,16.5,0
273,0.1,25.9,9.2,0
274,20.3,24.3,10.0,1
275,7.4,10.8,23.5,1
276,0.9,17.6,6.9,0
277,0.0,20.0,12.4,0
278,0.0,20.2,8.2,0
279,0.0,27.9,12.8,0
280,0.0,27.9,8.7,0
281,0.7,15.4,18.5,0
282,1.5,20.9,26.1,1
283,0.0,32.1,16.8,0
284,0.0,16.4,10.1,0
285,0.0,21.3,6.8,0
286,0.0,18.1,33.9,0
287,0.0,16.0,29.5,0
288,3.8,20.9,15.4,1
289,0.0,31.0,26.5,0
290,0.1,25.7,9.2,0
291,0.0,27.6,7.3,0
292,1.9,15.8,23.6,1
293,0.0,29.3,9.4,0
294,0.0,22.9,10.9,0
295,0.6,23.4,16.5,0
296,2.9,18.9,13.5,1
297,1.9,18.7,25.1,1
298,0.0,27.1,8.2,0
299,0.8,24.8,12.4,0
300,3.5,16.8,34.4,1
301,0.0,25.1,8.0,0
302,0.2,18.0,18.5,0
303,0.0,17.4,25.8,0
304,8.1,25.7,36.3,1
305,0.0,24.5,8.2,0
306,6.7,23.2,15.3,1
307,4.1,17.5,11.4,1
308,0.9,17.1,8.0,0
309,0.0,24.0,17.1,0
310,6.0,21.2,6.0,1
311,3.5,24.6,8.7,1
312,0.0,19.5,18.1,0
313,0.0,27.0,17.0,0
314,0.0,26.6,14.3,0
315,0.0,21.1,10.5,0
316,2.9,22.2,20.1,1
317,0.0,22.8,23.1,0
318,4.3,19.4,19.5,1
319,0.0,18.8,15.3,0
320,18.9,21.9,24.3,1
321,4.2,17.8,29.0,1
322,0.0,26.6,18.5,0
323,0.0,24.5,7.7,0
324,8.9,19.3,10.2,1
325,20.4,17.9,21.3,1
326,18.3,18.9,10.0,1
327,0.0,27.1,20.7,0
328,0.3,26.3,13.5,0
329,0.4,30.0,13.5,0
330,0.0,25.6,8.8,0
331,0.0,22.5,12.6,0
332,0.0,23.0,7.5,0
333,0.7,20.7,21.4,0
334,1.0,28.2,12.7,0
335,0.0,22.0,8.0,0
336,0.0,28.6,8.2,0
337,0.0,27.6,15.8,0
338,3.7,25.1,25.4,1
339,3.2,29.7,11.9,1
340,3.1,21.1,26.4,1
341,0.5,18.5,18.7,0
342,1.4,19.5,12.2,1
343,0.0,26.5,10.9,0
344,0.0,24.8,11.2,0
345,0.0,30.0,13.9,0
346,0.1,22.1,25.7,0
347,0.0,21.1,10.4,0
348,0.2,27.2,11.4,0
349,10.2,14.6,31.6,1
350,0.0,22.7,7.6,0
351,18.9,28.6,9.2,1
352,12.6,24.3,22.2,1
353,27.8,18.3,16.7,1
354,0.1,23.3,15.3,0
355,0.4,31.7,19.9,0
356,0.0,32.9,12.4,0
357,0.1,15.9,12.2,0
358,0.0,19.8,19.5,0
359,0.0,23.6,10.2,0
360,0.0,37.0,15.6,0
361,5.1,20.1,20.7,1
362,0.0,28.2,25.6,0
363,0.0,21.6,19.6,0
364,2.1,26.7,22.7,1
365,0.1,23.3,15.9,0
366,12.1,14.8,26.5,1
367,0.0,22.5,8.7,0
368,0.0,20.5,21.1,0
369,0.3,27.0,27.0,0
370,11.5,17.2,8.8,1
371,9.9,22.3,25.5,1
372,6.5,24.1,13.4,1
373,0.2,20.9,8.7,0
374,4.1,19.2,9.1,1
375,0.1,25.0,16.0,0
376,0.0,30.6,25.1,0
377,0.0,32.2,21.3,0
378,0.6,22.3,22.8,0
379,3.8,18.1,34.8,1
380,1.5,24.9,16.1,1
381,0.0,24.1,7.3,0
382,2.5,24.8,26.7,1
383,0.0,24.5,7.6,0
384,0.0,21.3,15.5,0
385,0.0,29.1,27.4,0
386,0.0,13.3,32.9,0
387,0.3,32.6,26.1,0
388,0.0,33.3,17.7,0
389,0.0,23.3,26.4,0
390,0.0,11.4,14.1,0
391,0.3,20.8,8.4,0
392,16.3,26.8,15.1,1
393,1.9,27.7,10.5,1
394,0.3,19.6,14.5,0
395,0.2,16.8,16.7,0
396,2.0,23.5,13.1,1
397,0.0,20.0,15.6,0
398,6.6,26.4,8.8,1
399,8.2,21.5,23.7,1
